path,family,inventory_supported,notes
/fotografia,fotografia,yes,static/section route
/fuertes-fortalezas,fuertes-fortalezas,yes,static/section route
/gastronomia,gastronomia,yes,static/section route
/gastronomia/aconchego-carioca,gastronomia,yes,gastronomy detail
/gastronomia/adega-da-velha,gastronomia,yes,gastronomy detail
/gastronomia/adega-perola,gastronomia,yes,gastronomy detail
/gastronomia/aipo-aipim-copacabana-391,gastronomia,yes,gastronomy detail
/gastronomia/aipo-aipim-copacabana-605,gastronomia,yes,gastronomy detail
/gastronomia/aipo-aipim-copacabana-920,gastronomia,yes,gastronomy detail
/gastronomia/alfaia,gastronomia,yes,gastronomy detail
/gastronomia/alloro-al-miramar,gastronomia,yes,gastronomy detail
/gastronomia/amir,gastronomia,yes,gastronomy detail
/gastronomia/angu-do-gomes,gastronomia,yes,gastronomy detail
/gastronomia/aprazivel,gastronomia,yes,gastronomy detail
/gastronomia/arab-leblon,gastronomia,yes,gastronomy detail
/gastronomia/armazem-sao-thiago-bar-do-gomes,gastronomia,yes,gastronomy detail
/gastronomia/arp-bar,gastronomia,yes,gastronomy detail
/gastronomia/assador,gastronomia,yes,gastronomy detail
/gastronomia/babbo-osteria,gastronomia,yes,gastronomy detail
/gastronomia/bafo-da-prainha,gastronomia,yes,gastronomy detail
/gastronomia/bar-da-amendoeira,gastronomia,yes,gastronomy detail
/gastronomia/bar-da-frente,gastronomia,yes,gastronomy detail
/gastronomia/bar-da-gema,gastronomia,yes,gastronomy detail
/gastronomia/bar-da-portuguesa,gastronomia,yes,gastronomy detail
/gastronomia/bar-do-mineiro,gastronomia,yes,gastronomy detail
/gastronomia/bar-do-momo,gastronomia,yes,gastronomy detail
/gastronomia/bar-do-omar,gastronomia,yes,gastronomy detail
/gastronomia/bar-luiz,gastronomia,yes,gastronomy detail
/gastronomia/bar-madrid,gastronomia,yes,gastronomy detail
/gastronomia/bar-urca,gastronomia,yes,gastronomy detail
/gastronomia/basha,gastronomia,yes,gastronomy detail
/gastronomia/bb-lanches,gastronomia,yes,gastronomy detail
/gastronomia/bira-de-guaratiba,gastronomia,yes,gastronomy detail
/gastronomia/boa-praca-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/boteco-belmonte-copacabana,gastronomia,yes,gastronomy detail
/gastronomia/boteco-belmonte-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/bracarense,gastronomia,yes,gastronomy detail
/gastronomia/brota,gastronomia,yes,gastronomy detail
/gastronomia/cachambeer,gastronomia,yes,gastronomy detail
/gastronomia/cafe-do-alto,gastronomia,yes,gastronomy detail
/gastronomia/cafe-lamas,gastronomia,yes,gastronomy detail
/gastronomia/cais-do-oriente,gastronomia,yes,gastronomy detail
/gastronomia/cantinho-legal-da-tia-penha,gastronomia,yes,gastronomy detail
/gastronomia/canton,gastronomia,yes,gastronomy detail
/gastronomia/carretao-copacabana-siqueira-campos,gastronomia,yes,gastronomy detail
/gastronomia/carretao-ipanema-classic-grill,gastronomia,yes,gastronomy detail
/gastronomia/carretao-lido,gastronomia,yes,gastronomy detail
/gastronomia/casa-201,gastronomia,yes,gastronomy detail
/gastronomia/casa-cave,gastronomia,yes,gastronomy detail
/gastronomia/casa-da-feijoada,gastronomia,yes,gastronomy detail
/gastronomia/casa-do-sardo,gastronomia,yes,gastronomy detail
/gastronomia/casa-mohamed,gastronomia,yes,gastronomy detail
/gastronomia/casa-porto,gastronomia,yes,gastronomy detail
/gastronomia/cavalo-marinho,gastronomia,yes,gastronomy detail
/gastronomia/cervantes-copacabana,gastronomia,yes,gastronomy detail
/gastronomia/chez-claude,gastronomia,yes,gastronomy detail
/gastronomia/churrascaria-palace,gastronomia,yes,gastronomy detail
/gastronomia/churrasqueira-rio,gastronomia,yes,gastronomy detail
/gastronomia/classico-beach-club-barra,gastronomia,yes,gastronomy detail
/gastronomia/classico-beach-club-leme,gastronomia,yes,gastronomy detail
/gastronomia/classico-beach-club-urca,gastronomia,yes,gastronomy detail
/gastronomia/coisas-de-bamba,gastronomia,yes,gastronomy detail
/gastronomia/confeitaria-colombo,gastronomia,yes,gastronomy detail
/gastronomia/confeitaria-colombo-do-forte,gastronomia,yes,gastronomy detail
/gastronomia/confeitaria-manon,gastronomia,yes,gastronomy detail
/gastronomia/corrientes-348,gastronomia,yes,gastronomy detail
/gastronomia/cosmopolita,gastronomia,yes,gastronomy detail
/gastronomia/ct-boucherie,gastronomia,yes,gastronomy detail
/gastronomia/curto-cafe,gastronomia,yes,gastronomy detail
/gastronomia/deck-buffet,gastronomia,yes,gastronomy detail
/gastronomia/delirio-tropical-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/delirio-tropical-rio-sul,gastronomia,yes,gastronomy detail
/gastronomia/don-camillo,gastronomia,yes,gastronomy detail
/gastronomia/don-pascual,gastronomia,yes,gastronomy detail
/gastronomia/eclipse,gastronomia,yes,gastronomy detail
/gastronomia/elena-horto,gastronomia,yes,gastronomy detail
/gastronomia/escama,gastronomia,yes,gastronomy detail
/gastronomia/espetto-carioca-quiosque-leme,gastronomia,yes,gastronomy detail
/gastronomia/esquimo,gastronomia,yes,gastronomy detail
/gastronomia/explorer-bar,gastronomia,yes,gastronomy detail
/gastronomia/faenza-copacabana,gastronomia,yes,gastronomy detail
/gastronomia/feira-de-sao-cristovao,gastronomia,yes,gastronomy detail
/gastronomia/ferro-e-farinha,gastronomia,yes,gastronomy detail
/gastronomia/fiorino-ristorante,gastronomia,yes,gastronomy detail
/gastronomia/flor-do-ceu,gastronomia,yes,gastronomy detail
/gastronomia/fogo-de-chao-botafogo,gastronomia,yes,gastronomy detail
/gastronomia/frontera-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/galeto-liceu,gastronomia,yes,gastronomy detail
/gastronomia/galeto-sat-s,gastronomia,yes,gastronomy detail
/gastronomia/garota-de-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/ginga,gastronomia,yes,gastronomy detail
/gastronomia/giuseppe-mar,gastronomia,yes,gastronomy detail
/gastronomia/gruta-do-fado,gastronomia,yes,gastronomy detail
/gastronomia/guacamole-taqueria-copacabana,gastronomia,yes,gastronomy detail
/gastronomia/gurume,gastronomia,yes,gastronomy detail
/gastronomia/haru-sushi-bar,gastronomia,yes,gastronomy detail
/gastronomia/hollandaise,gastronomia,yes,gastronomy detail
/gastronomia/iraja-redux,gastronomia,yes,gastronomy detail
/gastronomia/joaquina-leme,gastronomia,yes,gastronomy detail
/gastronomia/jobi,gastronomia,yes,gastronomy detail
/gastronomia/jojo-bistro,gastronomia,yes,gastronomy detail
/gastronomia/k08,gastronomia,yes,gastronomy detail
/gastronomia/kilograma-centro,gastronomia,yes,gastronomy detail
/gastronomia/koral,gastronomia,yes,gastronomy detail
/gastronomia/kurt-leblon,gastronomia,yes,gastronomy detail
/gastronomia/la-bicyclette,gastronomia,yes,gastronomy detail
/gastronomia/la-fiorentina-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/labuta-bar,gastronomia,yes,gastronomy detail
/gastronomia/lasai,gastronomia,yes,gastronomy detail
/gastronomia/lilia,gastronomia,yes,gastronomy detail
/gastronomia/majorica,gastronomia,yes,gastronomy detail
/gastronomia/margutta-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/marius-degustare,gastronomia,yes,gastronomy detail
/gastronomia/maska,gastronomia,yes,gastronomy detail
/gastronomia/mee,gastronomia,yes,gastronomy detail
/gastronomia/mocellin-steak,gastronomia,yes,gastronomy detail
/gastronomia/mosteiro,gastronomia,yes,gastronomy detail
/gastronomia/naga,gastronomia,yes,gastronomy detail
/gastronomia/nido-ristorante,gastronomia,yes,gastronomy detail
/gastronomia/nino-cucina-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/noa-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/nova-capela,gastronomia,yes,gastronomy detail
/gastronomia/ocya-ilha,gastronomia,yes,gastronomy detail
/gastronomia/ocya-leblon,gastronomia,yes,gastronomy detail
/gastronomia/oficina-do-peixe,gastronomia,yes,gastronomy detail
/gastronomia/oro,gastronomia,yes,gastronomy detail
/gastronomia/oteque,gastronomia,yes,gastronomy detail
/gastronomia/otto-restaurante,gastronomia,yes,gastronomy detail
/gastronomia/pavao-azul,gastronomia,yes,gastronomy detail
/gastronomia/pergula,gastronomia,yes,gastronomy detail
/gastronomia/pescados-na-brasa,gastronomia,yes,gastronomy detail
/gastronomia/pesqueiro,gastronomia,yes,gastronomy detail
/gastronomia/pilograma-prime-grill,gastronomia,yes,gastronomy detail
/gastronomia/pobre-juan,gastronomia,yes,gastronomy detail
/gastronomia/point-de-grumari,gastronomia,yes,gastronomy detail
/gastronomia/polis-sucos,gastronomia,yes,gastronomy detail
/gastronomia/polvo-marisqueria,gastronomia,yes,gastronomy detail
/gastronomia/praia-skol,gastronomia,yes,gastronomy detail
/gastronomia/prana-vegetariano,gastronomia,yes,gastronomy detail
/gastronomia/proa-cozinha-bar,gastronomia,yes,gastronomy detail
/gastronomia/quartinho,gastronomia,yes,gastronomy detail
/gastronomia/quiosque-cabanna,gastronomia,yes,gastronomy detail
/gastronomia/quiosque-dumare,gastronomia,yes,gastronomy detail
/gastronomia/quiteria,gastronomia,yes,gastronomy detail
/gastronomia/rampinha,gastronomia,yes,gastronomy detail
/gastronomia/reino-vegetal,gastronomia,yes,gastronomy detail
/gastronomia/rio-scenarium,gastronomia,yes,gastronomy detail
/gastronomia/ristorante-hotel-cipriani,gastronomia,yes,gastronomy detail
/gastronomia/rotisseria-sirio-libaneza,gastronomia,yes,gastronomy detail
/gastronomia/rufino-parrilla,gastronomia,yes,gastronomy detail
/gastronomia/ryu-restaurante,gastronomia,yes,gastronomy detail
/gastronomia/sabor-das-aguas,gastronomia,yes,gastronomy detail
/gastronomia/samba-social-clube,gastronomia,yes,gastronomy detail
/gastronomia/satyricon,gastronomia,yes,gastronomy detail
/gastronomia/sel-d-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/shiso,gastronomia,yes,gastronomy detail
/gastronomia/spesso,gastronomia,yes,gastronomy detail
/gastronomia/spicy-fish,gastronomia,yes,gastronomy detail
/gastronomia/stalos,gastronomia,yes,gastronomy detail
/gastronomia/stambul-comida-arabe,gastronomia,yes,gastronomy detail
/gastronomia/sud-o-passaro-verde,gastronomia,yes,gastronomy detail
/gastronomia/sushi-leblon,gastronomia,yes,gastronomy detail
/gastronomia/tacaca-do-norte,gastronomia,yes,gastronomy detail
/gastronomia/talho-capixaba-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/tempeh,gastronomia,yes,gastronomy detail
/gastronomia/temperarte-bolivar,gastronomia,yes,gastronomy detail
/gastronomia/temperarte-posto-6,gastronomia,yes,gastronomy detail
/gastronomia/teva,gastronomia,yes,gastronomy detail
/gastronomia/tia-palmira,gastronomia,yes,gastronomy detail
/gastronomia/toca-da-traira,gastronomia,yes,gastronomy detail
/gastronomia/umai,gastronomia,yes,gastronomy detail
/gastronomia/venga-ipanema,gastronomia,yes,gastronomy detail
/gastronomia/xian,gastronomia,yes,gastronomy detail
/gastronomia/xodozin,gastronomia,yes,gastronomy detail
/gastronomia/yusha,gastronomia,yes,gastronomy detail
/gastronomia/zaza-bistro-tropical,gastronomia,yes,gastronomy detail
/guia,guia,yes,static/section route
/guia/alquiler-de-auto-en-rio-y-brasil,guia,yes,guide detail
/guia/aplicaciones-que-facilitan-tu-viaje,guia,yes,guide detail
/guia/como-moverse-por-rio,guia,yes,guide detail
/guia/consulados-y-ayuda-para-viajeros-extranjeros,guia,yes,guide detail
/guia/dinero-en-brasil-reales-tarjetas-y-seguridad,guia,yes,guide detail
/guia/documentos-y-visado-para-entrar-a-brasil,guia,yes,guide detail
/guia/emergencias-que-hacer-y-a-quien-llamar,guia,yes,guide detail
/guia/internet-roaming-chip-y-esim,guia,yes,guide detail
/guia/llegar-a-rio-galeao-y-santos-dumont,guia,yes,guide detail
/guia/permanencia-como-turista-y-extension,guia,yes,guide detail
/guia/pix,guia,yes,guide detail
/guia/rio-accesible-y-viaje-para-adultos-mayores,guia,yes,guide detail
/guia/rodoviaria-novo-rio-y-terminal-internacional-de-cruceros,guia,yes,guide detail
/guia/seguro-de-viaje-sus-y-emergencias-medicas,guia,yes,guide detail
/guia/vacunas-y-fiebre-amarilla-antes-de-viajar-a-brasil,guia,yes,guide detail
/guia/viajar-a-brasil-con-menores-de-edad,guia,yes,guide detail
/hola-soy-ernestinho,hola-soy-ernestinho,yes,static/section route
/hospedaje,hospedaje,yes,static/section route
/iglesias,iglesias,yes,static/section route
/lugares,lugares,yes,static/section route
/lugares/aquario,lugares,yes,static/section route
/lugares/buzios,lugares,yes,static/section route
/lugares/cristo-redentor,lugares,yes,static/section route
/lugares/escadaria-selaron,lugares,yes,static/section route
/lugares/floresta-da-tijuca,lugares,yes,static/section route
/lugares/forte-de-copacabana,lugares,yes,static/section route
/lugares/ipanema,lugares,yes,static/section route
/lugares/jardim-botanico,lugares,yes,static/section route
/lugares/lapa,lugares,yes,static/section route
/lugares/mam-rio,lugares,yes,static/section route
/lugares/mar,lugares,yes,static/section route
/lugares/maracana,lugares,yes,static/section route
/lugares/musal,lugares,yes,static/section route
/lugares/museu-do-amanha,lugares,yes,static/section route
/lugares/palacio-do-catete,lugares,yes,static/section route
/lugares/pao-de-acucar,lugares,yes,static/section route
/lugares/parque-lage,lugares,yes,static/section route
/lugares/pedra-bonita,lugares,yes,static/section route
/lugares/real-gabinete-portugues,lugares,yes,static/section route
/lugares/santa-teresa,lugares,yes,static/section route
/museos,museos,yes,static/section route
/museos/casa-historica-de-deodoro,museos,yes,museum detail
/museos/instituto-historico-e-geografico-brasileiro-ihgb,museos,yes,museum detail
/museos/museu-aeroespacial-musal,museos,yes,museum detail
/museos/museu-arquidiocesano-de-arte-sacra-maas,museos,yes,museum detail
/museos/museu-casa-de-benjamin-constant,museos,yes,museum detail
/museos/museu-chacara-do-ceu,museos,yes,museum detail
/museos/museu-da-historia-e-da-cultura-afro-brasileira-muhcab,museos,yes,museum detail
/museos/museu-da-republica-palacio-do-catete,museos,yes,museum detail
/museos/museu-da-vida-fiocruz,museos,yes,museum detail
/museos/museu-de-arqueologia-de-itaipu,museos,yes,museum detail
/museos/museu-de-arte-contemporanea-de-niteroi-mac,museos,yes,museum detail
/museos/museu-de-arte-do-rio-mar,museos,yes,museum detail
/museos/museu-de-arte-moderna-do-rio-de-janeiro-mam-rio,museos,yes,museum detail
/museos/museu-de-astronomia-e-ciencias-afins-mast,museos,yes,museum detail
/museos/museu-de-folclore-edison-carneiro,museos,yes,museum detail
/museos/museu-do-acude,museos,yes,museum detail
/museos/museu-do-amanha,museos,yes,museum detail
/museos/museu-do-pontal,museos,yes,museum detail
/museos/museu-do-samba,museos,yes,museum detail
/museos/museu-flamengo,museos,yes,museum detail
/museos/museu-historico-da-cidade-do-rio-de-janeiro,museos,yes,museum detail
/museos/museu-historico-nacional,museos,yes,museum detail
/museos/museu-light-da-energia,museos,yes,museum detail
/museos/museu-nacional-de-belas-artes-mnba,museos,yes,museum detail
/museos/museu-nacional-dos-povos-indigenas,museos,yes,museum detail
/museos/museu-nacional-ufrj,museos,yes,museum detail
/museos/museu-naval,museos,yes,museum detail
/museos/museu-villa-lobos,museos,yes,museum detail
/naturaleza,naturaleza,yes,static/section route
/ocio,ocio,yes,static/section route
/para-mi,para-mi,yes,static/section route
/patrimonio,patrimonio,yes,static/section route
/playas,playas,yes,static/section route
/prepara-tu-viaje,prepara-tu-viaje,yes,static/section route
/privacidad,privacidad,yes,static/section route
/que-hacer,que-hacer,yes,static/section route
/rio-en-vivo,rio-en-vivo,yes,static/section route
/sos,sos,yes,static/section route
/teatros,teatros,yes,static/section route
/transportes,transportes,yes,static/section route
/transportes/bicicletas,transportes,yes,static/section route
/transportes/metro,transportes,yes,static/section route
/transportes/transporte-publico,transportes,yes,static/section route
/transportes/traslados,transportes,yes,static/section route
/transportes/uber,transportes,yes,static/section route
/tv,tv,yes,static/section route
/vida-nocturna,vida-nocturna,yes,static/section route
